"Year","DOY","Sat","N_notNA","N_notNA_outliersRem","chl_mean_all","chl_median_all","chl_mean_or","chl_median_or","chl_mean_near","chl_median_near","chl_mean_near_or","chl_median_near_or","file"
2016,114,"A",391,372,36.8744173112809,19.8013534545898,26.1453514447215,19.3376531600952,20.3157115512424,19.9346599578857,20.3157115512424,19.9346599578857,"A2016114191000.L2_LAC_OC"
2016,155,"A",162,161,18.5978456544287,14.1876950263977,17.5307769656922,14.1670198440552,12.0399509006076,11.9646549224854,12.0399509006076,11.9646549224854,"A2016155190000.L2_LAC_OC"
2016,167,"A",86,71,85.124400399452,38.0680809020996,41.3076357975812,27.720329284668,NA,NA,NA,NA,"A2016167192500.L2_LAC_OC"
2016,169,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2016169191500.L2_LAC_OC"
2016,183,"A",86,32,199.899739165639,186.604759216309,89.52236571908,97.5193328857422,411.78466796875,411.78466796875,NA,NA,"A2016183192500.L2_LAC_OC"
2016,185,"A",386,313,97.9157456877627,67.8761253356934,56.7701452785788,51.3015441894531,96.8437477747599,100.79988861084,96.8437477747599,100.79988861084,"A2016185191500.L2_LAC_OC"
2016,196,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2016196185500.L2_LAC_OC"
2016,208,"A",262,187,105.557367605107,71.8017807006836,55.2669594963604,46.215259552002,160.643161773682,154.057922363281,126.989234924316,130.544021606445,"A2016208192000.L2_LAC_OC"
2016,235,"A",328,280,91.4994479650404,59.4534130096436,59.5662546736853,52.417760848999,32.3313617706299,32.5853805541992,32.3313617706299,32.5853805541992,"A2016235190000.L2_LAC_OC"
2016,246,"A",201,201,6.9060148260138,3.37281513214111,6.9060148260138,3.37281513214111,17.9007057189941,12.8687725067139,17.9007057189941,12.8687725067139,"A2016246184500.L2_LAC_OC"
2016,256,"A",49,39,93.2378395625523,48.8534088134766,52.0969698490241,40.5329627990723,NA,NA,NA,NA,"A2016256192000.L2_LAC_OC"
2016,262,"A",310,227,119.941454792023,99.9441184997559,72.3516197162578,80.0093612670898,117.633710225423,105.64347076416,117.633710225423,105.64347076416,"A2016262184500.L2_LAC_OC"
2016,270,"A",17,11,112.1959622888,39.9312133789062,33.3076545541937,23.9021739959717,NA,NA,NA,NA,"A2016270193000.L2_LAC_OC"
2016,292,"A",23,16,127.892011725384,64.9477920532227,43.9881231784821,20.777961730957,NA,NA,NA,NA,"A2016292185500.L2_LAC_OC"
